"sentence","task_id"
"I want the highest rating number. ","4"
"What is the latest Android version of ""Discover Color""?","4"
"What is the minimum and maximum rating of all the apps?","6"
"When was the oldest and the most recent update for ""Discover Color""?","6"
"How are the demographic age groups distributed?","9"
"Does the study time obey Gaussian distribution?","7"
"Identify the age distribution.","7"
"Is there any student group in which students are similar but different from the students that are not in the group?","9"
"What is one example of an unusual reason for choosing this school?","8"
"Identify the least common age.","8"
"How many students have mothers who work at home?","3"
"What is the degree of fluctuation among the ages?","3"
"Retrieve the students with fathers who work as teachers.","2"
"State the reason given by students with fathers who work as teachers.","2"
"State a random reason.","1"
"What kind of jobs do the students' mothers have?","1"
"What is the longest study time that students have?","4"
"Present the youngest students in the dataset.","4"
"Show the youngest student and the oldest student.","6"
"Show the student that travels for less than 30 minutes but more than 5 minutes.","6"
"Rank the students according to the number of failures in increasing order.","5"
"Rank the study time in descending order.","5"
"Would students fail more in class if they spent less time studying?","10"
"If students spent more time studying, would their travel time decrease?","10"
"What was the first movie to be released?","4"
"Which movie is the hottest?","4"
"What is the highest-grossing movie?","4"
"What has changed in terms of the revenue from the Harry Potter movies?","7"
"For movie series (such as ""The Lord of the Rings""), does the revenue increase as the number of movies in the series increases?","10"
"Do people have the same needs for different types of films in different years?","10"
"Has the revenue from the Harry Potter movies decreased in recent years?","10"
"What is the tallest building in Taiwan?","4"
"Which area has the tallest buildings?","4"
"Which area has the highest density of tall buildings?","4"
"In which years were these high-rise buildings constructed?","7"
"How tall are the average floors of these buildings?","3"
"How many tall buildings are there in Hong Kong compared with Taiwan?","3"
"What is the lowest mTEU in Eastern Europe?","4"
"Please display the highest mTEU in the given countries.","4"
"Does the development of GDP have a regional concentration trend?","7"
"What is the relation between GDP and mTEU?","10"
"Calculate the average GDP in Eastern Europe. ","3"
"How much higher is the GPD in Western Europe than in Eastern Europe?","3"
"Which bench player played the longest?","4"
"Which starter played the longest?","4"
"Who has the highest starter rate?","4"
"Which position has the longest playing time?","4"
"Which team players have the longest playing time?","4"
"On average, which position has the longest playing time? ","3"
"How many likes does the video ""PLUSH - Bad Unboxing Fan Mail"" have?","1"
"Does the video ""PLUSH - Bad Unboxing Fan Mail"" allow comments?","1"
"What time was ""PLUSH - Bad Unboxing Fan Mail"" published?","1"
"Since when has ""PLUSH - Bad Unboxing Fan Mail"" been trending?","1"
"How many users liked the video ""PLUSH - Bad Unboxing Fan Mail""?","1"
"On what date did ""PLUSH - Bad Unboxing Fan Mail"" start trending?","1"
"Indicate the number of likes that ""PLUSH - Bad Unboxing Fan Mail"" receives.","1"
"To what channel does ""PLUSH - Bad Unboxing Fan Mail"" belong?","1"
"Which channel published the video ""PLUSH - Bad Unboxing Fan Mail""?","1"
"Describe the video ""PLUSH - Bad Unboxing Fan Mail"".","1"
"List all the videos published before yesterday.","2"
"Which videos were published since yesterday?","2"
"List down all the videos that have ""Eminem"" in the title.","2"
"Which videos have more than 100 tags?","2"
"Find all the videos that received more than 1 million likes.","2"
"Find all the videos that were liked by more than 1 million users. ","2"
"Find all the videos that do not allow comments or ratings.","2"
"What is the average number of comments in all the videos?","3"
"What is the average number of comments in the videos published by ""EminemVEVO""?","3"
"How many videos were liked by more than 1 million users?","3"
"Does the dataset contain any video published before 1900?","2"
"How many likes has the channel ""EminemVEVO"" received in total?","3"
"Does the video ""PLUSH - Bad Unboxing Fan Mail"" have more likes than dislikes?","3"
"What is the earliest video?","4"
"What is the most liked video?","4"
"Which video has the highest number of tags?","4"
"Which video has been trending the longest?","4"
"Rank the 10 most liked videos.","4"
"What are the top 10 videos in terms of likes in the channel ""EminemVEVO""?","4"
"Which removed video has the most likes?","2"
"Sort the videos according to the time they were published in descending order.","5"
"Indicate all the videos in the channel ""EminemVEVO,"" ranked according to the number of likes.","5"
"What is the range of likes among all the videos?","6"
"What are the possible category IDs?","6"
"Indicate the distribution of the number of likes.","7"
"How is the number of likes distributed?","7"
"Draw a plot over the number of likes so I can understand its distribution.","7"
"I would like to see the distribution of likes.","7"
"Are there any videos with dislikes?","8"
"Search for videos that have unusual titles.","8"
"Does the title contain any special characters?","8"
"Are there any videos with missing thumbnail links?","8"
"Does the dataset contain any video that had been trending before it was published?","8"
"Identify all publishing times that look suspicious.","8"
"Are there any category IDs that are not presented as integers?","8"
"What other channels are similar to ""EminemVEVO""?","9"
"If possible, cluster the videos based on likes and description length.","9"
"Do videos with longer titles receive more likes?","10"
"Is there a linear relationship between the number of likes and the number of comments?","10"
"Are likes and comments positively correlated?","10"
"Please test if likes and comments are correlated at all.","10"
"If a video has a long title, does it also receive more likes?","10"
"What is the relationship, if any, between the number of tags and the length of description?","10"
"Does a larger channel tend to have more likes?","10"
"How many times has ""Coloring book moana"" been installed?","1"
"Is ""Coloring book moana"" free or paid?","1"
"List all the apps that have a perfect rating and a lot of reviews.","2"
"Find all the apps that have been recently updated.","2"
"How many genres are there in total?","3"
"Which type of apps has a higher mean rating: free or paid?","3"
"What is the size of the largest app?","4"
"What is the name of the largest app?","4"
"Among all the free apps, which ones have the highest ratings?","4"
"List all the expensive apps, from the most recent to the oldest.","5"
"I would like to see a list of business apps ordered according to their price.","5"
"What genres are possible in this dataset?","6"
"What is the possible range of the ratings?","6"
"Plot the percentage of all the genres.","7"
"What is the price distribution among beauty apps?","7"
"Are there any free apps that cost more than 0?","8"
"Search for current versions that evidently have errors.","8"
"Recommend other apps that are similar to ""Cloud of Books"".","9"
"Are there any free apps similar to ""OptoDrum""?","9"
"Verify if pricey apps are usually installed by fewer users.","10"
"Does the genre of the app influence its price?","10"
"Where was the movie ""Transformers: Prime"" produced?","1"
"I would like to know the rating of the movie ""Transformers: Prime"".","1"
"Enumerate all the movies directed by the director Fernando Lebrija.","2"
"Which movies were released in 2017?","2"
"How many movies were released in 2017?","3"
"Compute the average duration of all the TV shows.","3"
"Does the movie ""Kidnapping Mr. Heineken"" have the longest running time?","4"
"Which country has produced the most number of movies?","4"
"Please sort all the movies according to their year of release.","5"
"List all the movies based on their running time.","5"
"What is the range of the running time of R-rated movies?","6"
"When did Netflix add data to the table?","6"
"On which dates did Netflix release movies?","6"
"Does the running time of movies satisfy the normal distribution?","7"
"Determine the distribution of countries that have produced movies in the map.","7"
"Are there any movies without description?","8"
"Can you find the outliers of the years in the history of movie production? ","8"
"Cluster movies with similar descriptions (tags).","9"
"Are there any groups of actors that frequently collaborate with the same directors?","9"
"Is there a correlation between movie tags and duration?","10"
"Has the running time of movies become longer in recent years?","10"
"How many people from Albania at the age of 15– 24 years died by suicide in 1987?","1"
"What was the GDP of Albania in 1987?","1"
"Present all the records about individuals who died by suicide at the age of 15–24 years.","2"
"Remove the records about suicides in Albania.","2"
"Are there any years with more than 100 cases of suicide?","2"
"Compute the age median of suicides in Albania from 1987 to 2020.","3"
"Are males likely to die by suicide than females in Albania?","3"
"When does the largest number of suicides in Albania appear?","4"
"Are people at the age of 15-24 years likely to die by suicide than other ages?","4"
"I want a table sorted by gdp_for_year.","5"
"Rank the records according to year.","5"
"Does the highest number of suicides fall within the range of 15–34 years?","6"
"What is the range of gdp_per_capita in the Albania from 1987 to 2020?","6"
"Characterize the distribution of the ages of individuals who died by suicide in Albania.","7"
"Determine the distribution of ages in Albania with the number of suicides larger than 100.","7"
"Are there any records that have a suicide rate less than 0? ","8"
"Are there any years with suicide rates that are much larger than that of other years?","8"
"Cluster countries that have a similar distribution of suicide rates in each age range.","9"
"Can you show the clusters of countries based on their distribution of suicide rates in each age range?","9"
"Will the increase of gdp_per_capita influence the suicide rates?","10"
"Are there any correlations between gdp_per_capita and the suicide rates?","10"
"How many undergraduate students were there in the United Kingdom in 2001?","1"
"What is the percentage of undergraduate students in all countries in 2001?","1"
"What is the income of undergraduate and postgraduate students in the United Kingdom in 2001?","1"
"Where was the match between England and Wales held on 1879-01-08?","1"
"Find the place where the match between England and Wales was held on 1879-01-08.","1"
"Find the years in which the income of postgraduate students were higher than those of undergraduate students.","2"
"Which countries have more postgraduate students than undergraduate students in 2001?","2"
"Show all friendly tournament matches in which the home team beat the away team.","2"
"Find all the domestic league games that took place in the United Kingdom.","2"
"How many undergraduate students were there from 2000 to 2018?","3"
"What is the average income of postgraduate students in each country?","3"
"What is the average number of goals of home teams in matches held before 2000?","3"
"Calculate the average goal difference between the home team and the away team in all matches.","3"
"Find the country with the most undergraduate students in 2001.","4"
"Find the year in which the income of undergraduate students was the highest.","4"
"Which country won the most number of games?","4"
"I want to find the largest number of home team scores and away team scores.","4"
"Rank the table by the total number of undergraduate and postgraduate students.","5"
"Show the ranking of all the undergraduate and postgraduate students.","5"
"Sort the table from the largest number of home team scores to the smallest number of home team scores.","5"
"Show the ranking of the home team scores in descending order.","5"
"What is the range of the number of undergraduate students?","6"
"What is the range of the income of undergraduate students?","6"
"Find the limits of the number of home team scores in the table.","6"
"Display the situation of the range in terms of the home team scores.","6"
"I want to know the distribution of the number of postgraduates in each year.","7"
"Display the national distribution of postgraduate students in 2001.","7"
"Please show the distribution of the cities according to the number of matches.","7"
"What is the distribution of the cities according to the number of matches?","7"
"Find the anomalous values of undergraduate income and postgraduate income.","8"
"Are there any anomalies in the values of undergraduate income and postgraduate income?","8"
"Show the extreme matches in which the score difference is more than 5.","8"
"Does the dataset have any anomalous matches in which the score difference is more than 5?","8"
"Visualize the cluster of countries in which the income of undergraduate and postgraduate students are similar.","9"
"Divide the countries into groups according to the income of undergraduate and postgraduate students.","9"
"Find the cluster of nations that won the most games.","9"
"Cluster the nations into excellent teams and normal teams based on the number of games won.","9"
"Show the countries with the similar number of games won.","9"
"Is there any correlation between the number of undergraduate and postgraduate students?","10"
"Verify the impact of the number of undergraduate students to their income.","10"
"Can matching years influence the score difference between two matching teams?","10"
"Is there a decreasing trend in the score difference over the years?","10"
"What state has the most number of smokers?","4"
"What state has the most number of people who smoke? ","4"
"In the table, which state ranks first based on the population?","4"
"I am curious about which state has the longest life expectancy in America.","4"
"In which continent is the poorest (lowest income) country located?","4"
"What is the range of estimated lung and bronchus cancer deaths in the top 10 most populous states?","6"
"I want to know the variance of income in European countries.","3"
"How many countries have a population above 100 million?","2"
"Is the average PCI in all the countries in Africa lower than that in European countries?","2"
"Is the mode of the increasing rate of the GDP in the provinces in the middle region of China more than 7% in 2018?","2"
"Does life expectancy have any relation with the percentage of smokers?","10"
"Can you tell me the distribution of the number of vehicles in Asian countries?","7"
"Can you tell me the tendency of the number of vehicles in Japan and Korea between 2000 and 2010?","10"
"Do you feel that the male–female ratio in Russia has become more imbalanced in the last decade? ","7"
"I really want to know who received the highest total score in Class 4.","4"
"What are the maximum and minimum scores received in the midterm exam among all the boys?","4"
"In which exam did Patrick Lancaster receive the lowest score?","4"
"What grade did most of the students receive? ","4"
"Is the average score of Class 1 better than that in Class 5 in the final exam?","3"
"How many students received full marks in CW1?","2"
"What is the distribution of the average score of the students in Senior 3?","7"
"What is the distribution of the total points of the students?","7"
"What is the change in the number of students who obtained a total of more than 270 points in 2010–2019?","10"
"Can you tell me the difference of the CW2 scores between boys and girls?","10"
"I would like to inquire about the percentage of individuals who attempted to quit smoking in Ohio.","1"
"How many people live in Hawaii?","1"
"How many people smoke in Maryland?","1"
"I feel like knowing which states have more than five million people. ","2"
"Which states have an average income below $50,000 and a percentage of smokers above 20%?","2"
"I am hungry to know the average size of the territories of the states in the US. ","3"
"I would like to ask how many states are under the Eastern Standard Time Zone. ","3"
"Let me ask a question. What is the variance of the average income in European countries?","3"
"Please rank all the countries in the world by population in descending order.","5"
"I am eager to obtain the GDP ranking of European countries.","5"
"For reference, I look forward to obtaining the QS World University Rankings.","5"
"Can you tell me the ranking of Chinese provinces according to their happiness index?","5"
"Please list all the official languages in Africa.","6"
"What is the range of registered soccer players in South American countries?","6"
"I yearn to know the population range of Chinese provinces. ","6"
"Are there any anomalies in the growth rates of Asian countries?","8"
"Are there any outliers in the mortality rates due to cancer in American states?","8"
"Is there anything different about the average annual rainfall of each province in China this year?","8"
"Is there anything unusual about the vegetation coverage in Brazil in recent years?","8"
"Can we divide the CPI (per capita income) of Chinese provinces into several categories?","9"
"How can countries be classified according to their GDP?","9"
"I want to use the middle income to cluster the states in the US.","9"
"Can Russian cities be grouped by population?","9"
"Is the speed of economic development relative to the population of each country?","10"
"Is it true that the higher the GDP of a country is, the longer its people live on average?","10"
"I am eager to know the relationship between vegetation coverage and annual rainfall.","10"
"I am dying to know the result of Lucas Mcgee's midterm exam.","1"
"Which students received an A in Class 5?","2"
"What are the names of the students who scored 100 on the final exam?","2"
"Do you know the median score of all students in CW1?","3"
"Which class has the most number of students who received an A?","4"
"Please provide the names of all the students according to the results of the final exam in ascending order.","5"
"Can you tell me what the range of students' scores in the CW2 is?","6"
"Does this table show anything about the distribution of students who received an F?","7"
"Which student did not do as well as expected in the final exam?","8"
"Is there any evident clustering of the weight of students?","9"
"Does a student's grade have anything to do with the city he/she comes from?","10"
"How many boys were born in El Raval in 2017?","1"
"Retrieve the name of the neighborhood with 56 male births in 2017.","1"
"In which years did El Raval have more than 200 births?","2"
"Retrieve the neighborhood with more than 100 female births in Ciutat Vella in 2013.","2"
"What is the mean value of the number of births in El Raval across the years?","3"
"Derive the difference of the number of male births in El Raval between two consecutive years.","3"
"What is the maximum number of births in all the neighborhoods in 2007?","4"
"Find the minimum number of male births in all neighborhoods across the years.","4"
"Order the neighborhood by the number of male births in ascending order.","5"
"Sort the districts by the number of births in descending order.","5"
"What are the names of the districts in Barcelona?","6"
"What is the number of male births in each neighborhood in Ciutat Vella in 2017?","6"
"What is the birth distribution of the different districts in 2017?","7"
"How were the total number of male and female births in all districts distributed from 2013 to 2017?","7"
"Are there any exceptions within the years in which the number of boys in each district is at least 10 percent larger than the number of girls?","8"
"Find the outliers with extremely high gender ratios among the neighborhoods from 2014 to 2017.","8"
"Are there groups of neighborhoods with similar birth gender ratios?","9"
"Find the cluster with the highest number of births among the neighborhoods across the years.","9"
"Is there a correlation between the number of male and female births?","10"
"How about the relationship between the number of births in a district and the number of neighborhoods?","10"
"Obtain the market value of Fernando Torres in the 2010–2011 season.","1"
"Which player had a market value of 50,000,000 and was transferred for 58,500,000 in the 2010–2011 season?","1"
"Acquire the names of players with transfer fees of more than 20,000,000.","2"
"Obtain the transfer records of Liverpool in the 2010–2011 season.","2"
"Sum up the money spent by Liverpool on buying players across the years","3"
"What is the mean transfer fee in the Premier League in 2010–2011?","3"
"Obtain the highest transfer fee across the years.","4"
"What is the highest market value of the center forward in the 2011–2012 season?","4"
"Sort the players by their market value in the 2010–2011 season.","5"
"What is the ranking of the players according to age in the Premier League in the 2012–2013 season?","5"
"What is the range of the transfer fee in the Premier League in 2010–2011?","6"
"Retrieve the names of transferred players in La Liga in 2010.","6"
"What are the numbers of transferred players in different leagues in the 2010–2011 season?","7"
"How is the age of transferred players distributed in the Premier League?","7"
"Is it possible to buy a player with a transfer fee lower than his market value?","8"
"Are there outliers in which top backcourt players have a higher market value than the top frontcourt player?","8"
"Group the players with similar position (frontcourt, midfield, backcourt).","9"
"Are there groups of players with similar ages/market value ratios?","9"
"Is the age correlated with the market value?","10"
"Do the frontcourt players have a higher market value than the midfield players?","10"
"How many widowed people live in urban areas?","1"
"What is the total number of single people in Tanga?","1"
"Is there any area with over 10,000,000 married people?","2"
"Identify the area that has more than 700,000 married people and less than 40,000 divorced people.","2"
"Give the average number of divorced people in all the areas.","3"
"Sum up the number of separated, divorced, and widowed people in Lindi.","3"
"Which region has the largest number of people living together?","4"
"What is the smallest number of separated people? ","4"
"Generate the ranking of areas according to the total number of people.","5"
"Provide the three smallest numbers of widowed people in this table.","5"
"What is the range of the number of people who have never married?","6"
"What areas are presented in this table?","6"
"What is the distribution of widowed people in all regions?","7"
"How are the attributes of Mara distributed? ","7"
"Is there any area whose total attribute is not equal to the sum of all the other attributes?","8"
"Select the area that has more divorced people than married people.","8"
"Is the structure of people in Simiyu similar to that in Katavi?","9"
"Can I find some patterns in the similar number of married and divorced people in this table?","9"
"Must couples who live together be married?","10"
"Does the area with a large number of separated people also have a large number of divorced people?","10"
"How old was David when he was transferred in 2010?","1"
"From which team was David traded when he entered the Premier League?","1"
"Whose transfer_fee was over 58,000,000?","2"
"Whose transfer_fee was bigger than his market_fee?","2"
"Provide the average transfer_fee of players transferred to the Premier League.","3"
"Determine how many left-backs were transferred in 2010.","3"
"Who is the oldest player to be transferred?","4"
"Determine the earliest season in which Manchester City traded players with FC Barcelona.","4"
"Order the center-backs according to their transfer_fee.","5"
"Identify the attacking midfielders and rank them according to their market_fee.","5"
"Identify the teams that have transferred players to other teams.","6"
"What is the age range in this table?","6"
"Determine the distribution of the leagues who paid for transferred players in 2010.","7"
"What is the distribution of the amount Liverpool has spent on player transfers in every season?","7"
"Is there any player whose transfer_fee was two times larger than his market_fee?","8"
"Identify the player whose transfer_fee wasan anomaly.","8"
"Are there any patterns in the transfer of center-backs?","9"
"Is there any clustering of the seasons in which players were transferred to the Premier League? ","9"
"Are attacking midfielders normally more expensive than the defensive midfielders?","10"
"Have the market values of players increased over the seasons?","10"
"List all the results in the table about the film ""About Schmidt"".","1"
"Who won the award for Best Performance by an Actor in a Motion Picture - Drama in the 60th ceremony?","1"
"In the 60th ceremony, who were nominated in the Best Performance by an Actress in a Motion Picture - Drama but did not win?","2"
"Who were the final winners in all the categories in the 60th ceremony?","2"
"How many times was Nicholas Nickleby nominated in the ceremony from 2003 to 2020?","3"
"How many candidates were nominated for Best Performance by an Actor in a Motion Picture - Drama in the 60th ceremony?","3"
"Point out the earliest film produced that won in the 60th ceremony (in any category).","4"
"Which actor has won the most awards since 2003 (until 2020)?","4"
